time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),et0_fao_evapotranspiration (mm)_x,elevation,city_x,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),snowfall (cm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),et0_fao_evapotranspiration (mm)_y,vapor_pressure_deficit (kPa),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),city_y,month,rainy,year
2018-01-30,29.8,26.5,36.1,30.2,2018-01-30T05:16,2018-01-30T17:47,23.55,5.0,0.0,23.2,37.8,4.86,0,u,27.1,88.0,24.8,30.3,1007.6,982.3,0.0,40.0,10.0,2.0,100.0,0.0,0.0,0.0,0.0,23.1,30.7,285.0,283.0,35.3,0.03,0.45,26.7,26.7,26.7,26.7,0.105,0.108,0.108,0.11,u,1,True,2018
2018-01-31,29.2,26.4,36.9,31.2,2018-01-31T05:16,2018-01-31T17:47,22.6,4.0,0.0,14.5,27.0,4.59,0,u,26.7,86.0,24.2,31.3,1008.4,983.1,0.0,78.0,31.0,33.0,100.0,0.0,0.0,0.0,0.0,11.2,14.8,303.0,304.0,19.4,0.01,0.48,26.8,27.0,27.0,27.0,0.106,0.108,0.106,0.109,u,1,True,2018
2018-02-01,27.0,25.6,32.2,29.7,2018-02-01T05:17,2018-02-01T17:47,10.62,30.9,0.0,14.2,34.6,2.19,0,u,26.4,88.0,24.3,30.6,1008.9,983.5,0.0,100.0,58.0,34.0,100.0,0.0,0.0,0.0,0.0,14.0,17.6,269.0,271.0,14.8,0.02,0.4,26.9,27.0,27.0,27.0,0.106,0.108,0.104,0.109,u,2,True,2018
2018-02-02,27.1,25.2,32.2,29.4,2018-02-02T05:17,2018-02-02T17:47,15.8,11.2,0.0,19.4,34.9,2.9,0,u,26.0,93.0,24.7,30.6,1009.8,984.4,0.0,70.0,33.0,19.0,96.0,0.0,0.0,0.0,0.0,12.7,16.3,278.0,275.0,20.9,0.0,0.25,26.7,26.9,27.0,27.0,0.105,0.108,0.104,0.109,u,2,True,2018
2018-02-03,28.3,25.5,35.1,30.1,2018-02-03T05:17,2018-02-03T17:47,19.2,16.5,0.0,12.8,38.9,3.83,0,u,26.8,87.0,24.5,32.4,1009.6,984.2,0.0,31.0,15.0,22.0,14.0,0.0,0.0,0.0,0.0,5.4,7.2,323.0,323.0,15.1,0.0,0.45,26.7,26.8,26.9,27.0,0.105,0.107,0.104,0.109,u,2,True,2018
2018-02-04,29.1,25.8,35.0,30.5,2018-02-04T05:18,2018-02-04T17:47,21.25,7.2,0.0,14.1,28.1,4.18,0,u,25.8,91.0,24.2,31.0,1011.5,986.0,0.0,100.0,36.0,91.0,97.0,0.0,0.0,0.0,0.0,6.7,7.7,286.0,281.0,10.1,0.0,0.29,26.8,27.0,27.0,27.0,0.112,0.111,0.103,0.109,u,2,True,2018
2018-02-05,27.8,25.3,32.7,29.9,2018-02-05T05:18,2018-02-05T17:47,18.33,18.1,0.0,18.2,34.2,3.33,0,u,26.1,91.0,24.5,31.1,1011.0,985.5,0.0,27.0,6.0,11.0,51.0,0.0,0.0,0.0,0.0,9.7,12.1,285.0,282.0,21.2,0.0,0.3,27.0,27.1,27.1,27.1,0.103,0.105,0.105,0.109,u,2,True,2018
2018-02-06,27.9,25.3,33.8,29.4,2018-02-06T05:18,2018-02-06T17:47,23.02,6.2,0.0,21.9,34.9,4.09,0,u,25.6,93.0,24.4,30.1,1011.6,986.1,0.0,53.0,36.0,21.0,28.0,0.0,0.0,0.0,0.0,12.2,15.5,270.0,265.0,20.2,0.0,0.23,26.8,27.0,27.0,27.0,0.107,0.109,0.105,0.109,u,2,True,2018
2018-02-07,28.2,25.7,33.9,29.7,2018-02-07T05:19,2018-02-07T17:47,22.54,2.2,0.0,17.1,29.2,4.32,0,u,25.8,89.0,23.8,30.3,1010.9,985.4,0.0,41.0,29.0,22.0,6.0,0.0,0.0,0.0,0.0,10.5,12.9,292.0,288.0,20.9,0.01,0.37,26.8,27.0,27.0,27.0,0.104,0.106,0.105,0.109,u,2,True,2018
2018-02-08,27.7,25.6,32.8,30.7,2018-02-08T05:19,2018-02-08T17:46,16.42,6.7,0.0,13.1,29.2,3.17,0,u,26.3,88.0,24.1,31.5,1010.5,985.1,0.0,38.0,20.0,26.0,13.0,0.0,0.0,0.0,0.0,6.9,8.0,279.0,278.0,15.1,0.0,0.42,26.8,27.0,27.0,27.0,0.102,0.104,0.104,0.108,u,2,True,2018
2018-02-09,28.1,25.3,34.0,30.0,2018-02-09T05:19,2018-02-09T17:46,19.74,9.0,0.0,16.6,30.6,3.65,0,u,26.0,90.0,24.3,31.3,1010.5,985.0,0.0,70.0,14.0,76.0,39.0,0.0,0.0,0.0,0.0,6.5,7.2,289.0,288.0,25.6,0.0,0.32,26.7,27.0,27.0,27.0,0.103,0.104,0.103,0.108,u,2,True,2018
2018-02-10,28.2,25.1,34.8,29.8,2018-02-10T05:19,2018-02-10T17:46,23.84,1.7,0.0,13.7,28.1,4.48,0,u,25.3,93.0,24.1,30.3,1010.9,985.4,0.0,56.0,13.0,33.0,81.0,0.0,0.0,0.0,0.0,8.0,9.5,260.0,259.0,15.1,0.0,0.23,26.7,27.0,27.0,27.0,0.104,0.104,0.105,0.108,u,2,True,2018
2018-02-11,28.7,26.1,35.7,31.3,2018-02-11T05:19,2018-02-11T17:46,23.5,11.5,0.0,12.4,25.6,4.44,0,u,26.2,88.0,24.1,31.4,1010.6,985.2,0.0,59.0,9.0,42.0,86.0,0.0,0.0,0.0,0.0,6.6,8.5,279.0,282.0,15.8,0.0,0.4,26.7,27.0,27.0,27.0,0.099,0.101,0.103,0.108,u,2,True,2018
2018-02-12,28.4,26.2,36.1,32.1,2018-02-12T05:20,2018-02-12T17:46,23.55,7.9,0.0,11.8,25.9,4.51,0,u,26.6,86.0,24.1,32.5,1011.6,986.2,0.0,34.0,25.0,10.0,17.0,0.0,0.0,0.0,0.0,1.6,1.8,63.0,53.0,10.1,0.0,0.48,27.1,27.2,27.2,27.2,0.105,0.107,0.104,0.108,u,2,True,2018
2018-02-13,29.2,26.1,35.1,30.2,2018-02-13T05:20,2018-02-13T17:45,24.89,11.9,0.0,17.7,41.8,4.88,0,u,26.6,89.0,24.6,31.8,1012.3,986.8,0.0,35.0,13.0,19.0,41.0,0.0,0.0,0.0,0.0,9.0,11.8,286.0,282.0,13.3,0.01,0.39,27.0,27.2,27.2,27.2,0.106,0.108,0.103,0.108,u,2,True,2018
2018-02-14,28.2,25.5,33.0,29.9,2018-02-14T05:20,2018-02-14T17:45,16.71,13.9,0.0,19.2,36.7,3.34,0,u,26.3,89.0,24.4,30.7,1012.0,986.5,0.0,71.0,20.0,40.0,97.0,0.0,0.0,0.0,0.0,12.9,15.9,297.0,295.0,25.9,0.01,0.36,27.2,27.3,27.2,27.2,0.107,0.107,0.103,0.108,u,2,True,2018
2018-02-15,27.2,25.7,31.6,29.2,2018-02-15T05:20,2018-02-15T17:45,13.82,17.4,0.0,19.8,34.6,2.7,0,u,26.3,91.0,24.6,30.4,1012.0,986.5,0.0,80.0,48.0,12.0,99.0,0.0,0.0,0.0,0.0,16.2,20.5,273.0,270.0,34.2,0.01,0.32,27.2,27.2,27.2,27.2,0.105,0.106,0.104,0.108,u,2,True,2018
2018-02-16,29.9,25.9,36.1,30.1,2018-02-16T05:20,2018-02-16T17:45,20.26,4.8,0.0,14.8,27.4,4.3,0,u,26.0,90.0,24.2,30.1,1011.6,986.1,0.0,93.0,12.0,87.0,99.0,0.0,0.0,0.0,0.0,14.3,18.0,288.0,286.0,27.0,0.01,0.34,27.0,27.1,27.2,27.2,0.108,0.109,0.105,0.108,u,2,True,2018
2018-02-17,29.6,26.2,36.0,30.7,2018-02-17T05:21,2018-02-17T17:44,21.99,7.8,0.0,21.4,37.1,4.36,0,u,27.0,87.0,24.6,32.9,1009.3,984.0,0.0,64.0,26.0,21.0,93.0,0.0,0.0,0.0,0.0,4.1,5.5,285.0,293.0,12.2,0.0,0.47,27.1,27.3,27.3,27.3,0.104,0.107,0.105,0.108,u,2,True,2018
2018-02-18,29.5,26.3,35.9,31.2,2018-02-18T05:21,2018-02-18T17:44,25.29,0.2,0.0,15.9,25.9,5.09,0,u,27.0,86.0,24.5,32.0,1009.6,984.2,0.0,74.0,19.0,52.0,85.0,0.0,0.0,0.0,0.0,9.2,13.6,296.0,287.0,21.6,0.01,0.49,27.1,27.3,27.3,27.3,0.106,0.108,0.106,0.108,u,2,True,2018
2018-02-19,29.1,26.9,35.6,32.2,2018-02-19T05:21,2018-02-19T17:44,25.71,0.6,0.0,14.9,27.7,4.93,0,u,27.1,86.0,24.6,32.3,1010.1,984.7,0.0,47.0,18.0,2.0,99.0,0.0,0.0,0.0,0.0,8.3,10.8,288.0,285.0,16.6,0.01,0.48,27.0,27.4,27.3,27.3,0.1,0.103,0.106,0.108,u,2,True,2018
2018-02-20,28.4,26.4,35.2,32.3,2018-02-20T05:21,2018-02-20T17:43,22.9,13.8,0.0,13.5,26.6,4.32,0,u,26.7,87.0,24.3,32.5,1009.4,984.0,0.0,22.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,3.1,4.5,21.0,14.0,9.4,0.0,0.46,27.0,27.4,27.3,27.2,0.095,0.098,0.104,0.108,u,2,True,2018
2018-02-21,29.2,26.4,36.4,32.1,2018-02-21T05:21,2018-02-21T17:43,24.29,5.2,0.0,13.9,27.7,4.63,0,u,26.6,87.0,24.3,32.1,1008.8,983.4,0.0,40.0,10.0,9.0,85.0,0.0,0.0,0.0,0.0,4.8,6.6,347.0,351.0,10.1,0.0,0.43,27.2,27.4,27.3,27.3,0.105,0.105,0.103,0.108,u,2,True,2018
2018-02-22,28.6,26.0,35.3,31.7,2018-02-22T05:21,2018-02-22T17:43,20.6,9.1,0.0,11.9,24.5,3.99,0,u,26.7,90.0,24.9,33.1,1008.9,983.5,0.0,40.0,8.0,8.0,93.0,0.0,0.0,0.0,0.0,1.8,2.6,79.0,56.0,8.3,0.0,0.35,27.2,27.3,27.2,27.2,0.104,0.105,0.102,0.107,u,2,True,2018
2018-02-23,28.4,25.1,36.5,30.4,2018-02-23T05:21,2018-02-23T17:42,22.11,12.0,0.0,10.8,27.0,4.25,0,u,26.6,88.0,24.5,32.2,1009.0,983.6,0.0,49.0,19.0,5.0,96.0,0.0,0.0,0.0,0.0,5.2,5.8,115.0,112.0,12.2,0.0,0.41,27.1,27.2,27.2,27.2,0.105,0.107,0.102,0.107,u,2,True,2018
2018-02-24,28.3,25.8,35.0,31.6,2018-02-24T05:21,2018-02-24T17:42,22.37,10.4,0.0,13.4,31.0,4.21,0,u,26.0,90.0,24.3,31.8,1010.5,985.0,0.0,54.0,17.0,19.0,91.0,0.0,0.0,0.0,0.0,2.9,3.7,83.0,79.0,11.2,0.0,0.32,27.2,27.3,27.3,27.3,0.105,0.107,0.102,0.107,u,2,True,2018
2018-02-25,27.6,25.0,33.7,30.4,2018-02-25T05:22,2018-02-25T17:42,19.73,6.1,0.0,16.3,31.3,3.64,0,u,25.8,90.0,24.0,31.7,1011.6,986.1,0.0,46.0,14.0,9.0,94.0,0.0,0.0,0.0,0.0,1.5,1.8,194.0,191.0,7.9,0.0,0.34,27.0,27.3,27.3,27.3,0.105,0.108,0.104,0.107,u,2,True,2018
2018-02-26,27.5,25.8,33.0,31.1,2018-02-26T05:22,2018-02-26T17:41,19.62,10.9,0.0,15.9,28.1,3.73,0,u,26.1,88.0,23.9,32.0,1010.0,984.6,0.0,79.0,23.0,48.0,99.0,0.0,0.0,0.0,0.0,0.5,0.4,45.0,180.0,7.6,0.0,0.41,27.0,27.2,27.3,27.2,0.104,0.106,0.103,0.107,u,2,True,2018
2018-02-27,28.3,25.9,34.6,31.5,2018-02-27T05:22,2018-02-27T17:41,24.84,0.0,0.0,15.8,25.9,4.63,0,u,26.6,84.0,23.8,32.0,1010.1,984.7,0.0,56.0,24.0,8.0,100.0,0.0,0.0,0.0,0.0,3.6,5.9,225.0,218.0,7.2,0.0,0.54,27.0,27.2,27.3,27.3,0.105,0.108,0.105,0.107,u,2,True,2018
2018-02-28,28.6,26.0,36.4,31.8,2018-02-28T05:22,2018-02-28T17:40,25.66,3.4,0.0,13.7,27.4,4.81,0,u,26.4,87.0,24.1,32.2,1010.4,985.0,0.0,34.0,2.0,4.0,99.0,0.0,0.0,0.0,0.0,1.8,2.2,180.0,189.0,6.8,0.0,0.44,27.0,27.3,27.3,27.2,0.101,0.104,0.106,0.107,u,2,True,2018
2018-03-01,28.9,26.0,36.9,32.0,2018-03-01T05:22,2018-03-01T17:40,24.9,6.0,0.0,9.9,28.1,4.79,0,u,26.4,88.0,24.3,32.3,1009.0,983.6,0.0,37.0,15.0,1.0,75.0,0.0,0.0,0.0,0.0,2.9,3.7,187.0,191.0,7.9,0.0,0.4,27.2,27.4,27.3,27.2,0.105,0.106,0.105,0.107,u,3,True,2018
2018-03-02,28.8,26.1,35.5,31.8,2018-03-02T05:22,2018-03-02T17:39,19.85,7.3,0.0,10.9,24.5,3.85,0,u,26.7,87.0,24.5,32.8,1009.6,984.2,0.0,40.0,10.0,2.0,100.0,0.0,0.0,0.0,0.0,2.2,2.2,90.0,90.0,9.4,0.0,0.44,27.1,27.4,27.4,27.3,0.104,0.106,0.105,0.107,u,3,True,2018
2018-03-03,29.1,26.5,36.9,32.5,2018-03-03T05:22,2018-03-03T17:39,23.71,3.0,0.0,10.0,26.3,4.64,0,u,26.7,88.0,24.5,32.5,1009.0,983.6,0.0,53.0,15.0,16.0,98.0,0.0,0.0,0.0,0.0,3.8,5.4,41.0,37.0,8.6,0.0,0.42,27.3,27.4,27.4,27.4,0.105,0.107,0.106,0.107,u,3,True,2018
2018-03-04,28.8,26.5,35.6,32.5,2018-03-04T05:22,2018-03-04T17:39,21.98,6.4,0.0,14.7,29.2,4.17,0,u,27.6,83.0,24.4,33.4,1008.6,983.3,0.0,22.0,5.0,24.0,10.0,0.0,0.0,0.0,0.0,3.6,5.4,360.0,360.0,11.5,0.0,0.65,27.3,27.6,27.5,27.5,0.1,0.102,0.105,0.107,u,3,True,2018
