time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),et0_fao_evapotranspiration (mm),elevation,city,temperature_2m (°C)_max,relativehumidity_2m (%)_max,dewpoint_2m (°C)_max,apparent_temperature (°C)_max,pressure_msl (hPa)_max,surface_pressure (hPa)_max,snowfall (cm)_max,cloudcover (%)_max,cloudcover_low (%)_max,cloudcover_mid (%)_max,cloudcover_high (%)_max,shortwave_radiation (W/m²)_max,direct_radiation (W/m²)_max,diffuse_radiation (W/m²)_max,direct_normal_irradiance (W/m²)_max,windspeed_10m (km/h)_max,windspeed_100m (km/h)_max,winddirection_10m (°)_max,winddirection_100m (°)_max,windgusts_10m (km/h)_max,et0_fao_evapotranspiration (mm)_max,vapor_pressure_deficit (kPa)_max,soil_temperature_0_to_7cm (°C)_max,soil_temperature_7_to_28cm (°C)_max,soil_temperature_28_to_100cm (°C)_max,soil_temperature_100_to_255cm (°C)_max,soil_moisture_0_to_7cm (m³/m³)_max,soil_moisture_7_to_28cm (m³/m³)_max,soil_moisture_28_to_100cm (m³/m³)_max,soil_moisture_100_to_255cm (m³/m³)_max,city_max,temperature_2m (°C)_max_min,relativehumidity_2m (%)_max_min,dewpoint_2m (°C)_max_min,apparent_temperature (°C)_max_min,pressure_msl (hPa)_max_min,surface_pressure (hPa)_max_min,snowfall (cm)_max_min,cloudcover (%)_max_min,cloudcover_low (%)_max_min,cloudcover_mid (%)_max_min,cloudcover_high (%)_max_min,shortwave_radiation (W/m²)_max_min,direct_radiation (W/m²)_max_min,diffuse_radiation (W/m²)_max_min,direct_normal_irradiance (W/m²)_max_min,windspeed_10m (km/h)_max_min,windspeed_100m (km/h)_max_min,winddirection_10m (°)_max_min,winddirection_100m (°)_max_min,windgusts_10m (km/h)_max_min,et0_fao_evapotranspiration (mm)_max_min,vapor_pressure_deficit (kPa)_max_min,soil_temperature_0_to_7cm (°C)_max_min,soil_temperature_7_to_28cm (°C)_max_min,soil_temperature_28_to_100cm (°C)_max_min,soil_temperature_100_to_255cm (°C)_max_min,soil_moisture_0_to_7cm (m³/m³)_max_min,soil_moisture_7_to_28cm (m³/m³)_max_min,soil_moisture_28_to_100cm (m³/m³)_max_min,soil_moisture_100_to_255cm (m³/m³)_max_min,city_max_min,month,rainy,year
2018-01-11,-12.8,-20.7,-18.4,-25.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,21.4,30.6,0.04,0,q,-8.8,59.0,-17.9,-18.4,1004.6,965.7,0.0,100.0,72.0,92.0,93.0,0.0,0.0,0.0,0.0,21.4,31.9,360.0,214.0,30.6,0.01,0.17,-13.9,-13.4,-12.2,-9.6,0.334,0.324,0.267,0.25,q,-20.9,46.0,-28.0,-25.5,986.3,949.1,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,3.0,32.0,9.0,0.0,0.05,-14.0,-13.6,-12.3,-9.7,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-12,-8.2,-13.4,-14.7,-19.1,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.28,22.0,34.2,0.39,0,q,-11.5,68.0,-16.3,-14.7,991.0,953.8,0.07,100.0,27.0,100.0,82.0,0.0,0.0,0.0,0.0,22.0,33.0,59.0,72.0,34.2,0.02,0.09,-13.5,-13.3,-12.3,-9.7,0.334,0.324,0.267,0.25,q,-15.4,61.0,-21.2,-19.1,985.3,948.6,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.5,16.1,35.0,61.0,21.2,0.01,0.07,-14.0,-13.6,-12.4,-9.8,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-13,-13.2,-17.5,-18.2,-22.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,13.1,22.3,0.11,0,q,-13.4,63.0,-21.0,-18.2,990.8,953.4,0.0,66.0,73.0,38.0,49.0,0.0,0.0,0.0,0.0,13.1,16.1,360.0,86.0,22.3,0.01,0.11,-13.5,-13.3,-12.4,-9.8,0.334,0.324,0.267,0.25,q,-19.3,49.0,-26.5,-22.2,986.6,948.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.3,6.0,21.0,10.1,0.0,0.05,-13.6,-13.3,-12.4,-9.9,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-14,-16.5,-19.8,-21.1,-24.9,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.21,9.6,15.5,0.0,0,q,-17.0,68.0,-22.8,-21.1,1001.0,962.5,0.07,93.0,73.0,35.0,84.0,0.0,0.0,0.0,0.0,9.6,11.7,344.0,353.0,15.5,0.0,0.07,-13.6,-13.3,-12.4,-9.9,0.334,0.324,0.267,0.25,q,-20.2,57.0,-24.8,-24.9,986.0,948.2,0.0,49.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,5.8,2.0,5.0,10.8,0.0,0.04,-13.8,-13.4,-12.4,-10.0,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-15,-18.0,-22.3,-22.8,-27.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,10.0,14.8,0.0,0,q,-20.3,68.0,-24.7,-22.8,1007.5,968.3,0.0,100.0,74.0,59.0,21.0,0.0,0.0,0.0,0.0,10.0,13.8,346.0,207.0,14.8,0.0,0.05,-13.8,-13.4,-12.4,-10.0,0.334,0.324,0.267,0.25,q,-23.0,60.0,-27.8,-27.5,1001.4,962.9,0.0,54.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.8,25.0,27.0,8.6,0.0,0.03,-14.0,-13.6,-12.5,-10.1,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-16,-17.0,-19.4,-22.3,-24.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,16.0,22.3,0.11,0,q,-13.0,58.0,-23.6,-22.3,1009.2,970.5,0.0,65.0,72.0,0.0,70.0,0.0,0.0,0.0,0.0,16.0,23.5,360.0,135.0,22.3,0.01,0.14,-14.0,-13.6,-12.5,-10.1,0.334,0.324,0.267,0.25,q,-21.1,37.0,-27.3,-24.5,1004.3,965.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,14.0,50.0,8.3,0.0,0.05,-14.1,-13.7,-12.6,-10.1,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-17,-10.7,-18.5,-16.1,-24.0,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,17.6,23.4,0.14,0,q,-9.5,54.0,-19.6,-16.1,1015.3,976.5,0.0,89.0,72.0,0.0,95.0,0.0,0.0,0.0,0.0,17.6,26.6,65.0,90.0,23.4,0.01,0.17,-14.1,-13.7,-12.6,-10.1,0.334,0.324,0.267,0.25,q,-18.4,39.0,-25.4,-24.0,1009.7,970.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,4.6,3.0,36.0,11.2,0.0,0.07,-14.1,-13.8,-12.7,-10.2,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-18,-14.1,-15.2,-20.5,-21.7,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,20.1,31.0,0.3,0,q,-11.5,48.0,-20.8,-20.5,1011.8,973.3,0.0,5.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,20.1,29.0,54.0,72.0,31.0,0.02,0.15,-14.1,-13.8,-12.7,-10.2,0.334,0.324,0.267,0.25,q,-14.9,40.0,-23.8,-21.7,1009.5,971.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,22.1,42.0,60.0,23.8,0.01,0.1,-14.1,-13.8,-12.7,-10.3,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-19,-12.1,-15.6,-16.8,-21.6,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,17.2,25.2,0.07,0,q,-12.3,59.0,-19.9,-16.8,1021.4,982.5,0.0,66.0,73.0,1.0,4.0,0.0,0.0,0.0,0.0,17.2,23.3,356.0,356.0,25.2,0.01,0.13,-14.1,-13.8,-12.7,-10.3,0.334,0.324,0.267,0.25,q,-15.5,44.0,-23.5,-21.6,1012.0,973.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.6,15.0,4.0,9.4,0.0,0.08,-14.1,-13.8,-12.8,-10.4,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-20,-13.8,-17.2,-18.3,-23.0,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,13.0,19.1,0.05,0,q,-14.9,56.0,-22.1,-18.3,1019.7,981.0,0.0,69.0,72.0,1.0,13.0,0.0,0.0,0.0,0.0,13.0,18.8,360.0,360.0,19.1,0.01,0.1,-14.2,-13.8,-12.8,-10.4,0.334,0.324,0.267,0.25,q,-16.7,45.0,-25.4,-23.0,1011.6,972.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.1,4.0,34.0,8.3,0.0,0.08,-14.3,-13.9,-12.9,-10.5,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-21,-16.4,-18.8,-22.1,-24.9,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,14.5,20.5,0.24,0,q,-11.7,53.0,-21.8,-22.1,1011.2,972.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,19.5,53.0,75.0,20.5,0.01,0.14,-14.3,-13.9,-12.9,-10.5,0.334,0.324,0.267,0.25,q,-17.2,43.0,-24.6,-24.9,1009.6,970.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,16.7,44.0,67.0,18.4,0.01,0.08,-14.3,-14.0,-12.9,-10.5,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-22,-16.1,-19.2,-21.1,-25.0,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,14.3,20.5,0.11,0,q,-16.1,53.0,-23.8,-21.1,1012.3,973.7,0.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,18.3,45.0,74.0,20.5,0.01,0.09,-14.3,-14.0,-12.9,-10.5,0.334,0.324,0.267,0.25,q,-17.5,47.0,-25.6,-25.0,1010.3,971.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,10.5,22.0,58.0,12.2,0.0,0.07,-14.4,-14.1,-13.0,-10.6,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-23,-15.6,-18.9,-20.5,-24.4,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,11.3,15.8,0.07,0,q,-15.4,56.0,-22.7,-20.5,1010.7,972.1,0.0,65.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0,11.3,15.8,41.0,66.0,15.8,0.01,0.1,-14.4,-14.1,-13.0,-10.6,0.334,0.324,0.267,0.25,q,-20.3,48.0,-28.4,-24.4,1006.1,967.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,6.7,15.0,53.0,9.7,0.0,0.06,-14.5,-14.2,-13.1,-10.7,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-24,-18.9,-21.0,-24.4,-26.7,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.8,19.4,0.12,0,q,-18.2,57.0,-26.7,-24.4,1013.1,973.9,0.0,100.0,72.0,89.0,14.0,0.0,0.0,0.0,0.0,12.8,15.6,46.0,73.0,19.4,0.01,0.08,-14.5,-14.2,-13.1,-10.7,0.334,0.324,0.267,0.25,q,-22.2,43.0,-29.6,-26.7,1006.1,967.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,8.5,22.0,61.0,11.9,0.0,0.05,-14.7,-14.3,-13.2,-10.8,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-25,-16.1,-19.1,-21.1,-24.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,10.7,14.4,0.04,0,q,-16.4,55.0,-23.8,-21.1,1014.3,975.5,0.0,100.0,81.0,99.0,0.0,0.0,0.0,0.0,0.0,10.7,12.8,43.0,76.0,14.4,0.01,0.08,-14.6,-14.3,-13.2,-10.8,0.334,0.324,0.267,0.25,q,-18.9,43.0,-27.6,-24.2,1008.4,969.7,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.9,7.2,16.0,45.0,9.7,0.0,0.07,-14.7,-14.3,-13.2,-10.9,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-26,-17.6,-22.4,-22.9,-27.8,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,10.7,16.2,0.04,0,q,-18.4,53.0,-27.3,-22.9,1007.1,968.4,0.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,12.9,56.0,84.0,16.2,0.01,0.08,-14.6,-14.3,-13.2,-10.9,0.334,0.324,0.267,0.25,q,-21.6,43.0,-29.7,-27.8,997.3,958.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.9,17.0,46.0,11.9,0.0,0.05,-14.9,-14.5,-13.3,-10.9,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-27,-19.0,-22.6,-23.4,-27.9,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,9.5,13.7,0.0,0,q,-20.3,61.0,-26.7,-23.4,1004.7,965.5,0.0,100.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,9.5,12.7,360.0,83.0,13.7,0.0,0.06,-14.9,-14.5,-13.3,-10.9,0.334,0.324,0.267,0.25,q,-22.9,49.0,-30.5,-27.9,1001.0,962.2,0.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.8,7.0,18.0,7.6,0.0,0.04,-15.1,-14.6,-13.4,-11.0,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-28,-20.8,-22.4,-25.3,-27.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,7.7,11.9,0.0,0,q,-22.3,60.0,-28.8,-25.3,1011.3,971.8,0.0,93.0,74.0,47.0,0.0,0.0,0.0,0.0,0.0,7.7,9.2,351.0,360.0,11.9,0.0,0.05,-15.1,-14.7,-13.4,-11.0,0.334,0.324,0.267,0.25,q,-24.5,51.0,-30.9,-27.5,1004.5,965.3,0.0,59.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.8,4.0,11.0,7.2,0.0,0.04,-15.3,-14.9,-13.5,-11.1,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-29,-21.5,-23.6,-26.3,-28.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,6.8,10.8,0.0,0,q,-22.8,59.0,-29.6,-26.3,1014.3,974.5,0.0,100.0,84.0,45.0,1.0,0.0,0.0,0.0,0.0,6.8,7.3,360.0,82.0,10.8,0.0,0.05,-15.3,-14.9,-13.6,-11.1,0.334,0.324,0.267,0.25,q,-25.8,54.0,-31.7,-28.5,1011.4,971.8,0.0,57.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.1,4.0,38.0,7.9,0.0,0.03,-15.5,-15.1,-13.7,-11.2,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-30,-23.4,-26.2,-28.1,-31.8,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,10.0,15.1,0.0,0,q,-25.3,58.0,-31.6,-28.1,1013.9,973.6,0.0,84.0,73.0,7.0,51.0,0.0,0.0,0.0,0.0,10.0,11.6,360.0,75.0,15.1,0.0,0.04,-15.5,-15.1,-13.7,-11.2,0.334,0.324,0.267,0.25,q,-27.8,53.0,-33.4,-31.8,1010.6,970.5,0.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,2.3,4.0,51.0,6.8,0.0,0.03,-15.8,-15.3,-13.8,-11.3,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-31,-20.0,-26.3,-24.8,-32.1,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,11.5,18.7,0.0,0,q,-21.4,60.0,-27.9,-24.8,1029.4,989.3,0.0,100.0,96.0,100.0,94.0,0.0,0.0,0.0,0.0,11.5,14.6,360.0,80.0,18.7,0.0,0.05,-15.7,-15.3,-13.8,-11.3,0.334,0.324,0.267,0.25,q,-28.3,46.0,-33.7,-32.1,1014.7,974.4,0.0,82.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,4.3,3.1,8.0,45.0,6.8,0.0,0.02,-15.8,-15.4,-14.0,-11.3,0.334,0.324,0.267,0.25,q,1,True,2018
2018-02-01,-21.3,-24.1,-26.4,-29.1,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.3,14.8,0.0,0,q,-20.8,60.0,-28.4,-26.4,1030.0,989.7,0.0,100.0,92.0,98.0,17.0,0.0,0.0,0.0,0.0,12.3,16.0,358.0,349.0,14.8,0.0,0.06,-15.7,-15.3,-14.0,-11.3,0.334,0.324,0.267,0.25,q,-23.8,46.0,-30.3,-29.1,992.8,954.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.9,2.0,11.0,9.7,0.0,0.04,-15.8,-15.4,-14.1,-11.4,0.334,0.324,0.267,0.25,q,2,True,2018
2018-02-02,-20.4,-23.9,-24.7,-30.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,19.0,27.7,0.05,0,q,-19.3,62.0,-27.7,-24.7,1003.8,964.7,0.0,76.0,78.0,16.0,16.0,0.0,0.0,0.0,0.0,19.0,24.9,326.0,348.0,27.7,0.01,0.07,-15.8,-15.4,-14.1,-11.4,0.334,0.324,0.267,0.25,q,-24.7,44.0,-30.9,-30.2,985.5,946.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.5,40.0,7.0,12.2,0.0,0.03,-16.0,-15.5,-14.2,-11.5,0.334,0.324,0.267,0.25,q,2,True,2018
