time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),et0_fao_evapotranspiration (mm)_x,elevation,city_x,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),snowfall (cm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),et0_fao_evapotranspiration (mm)_y,vapor_pressure_deficit (kPa),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),city_y,month
2018-01-11,29.4,22.6,35.9,26.2,2018-01-11T06:42,2018-01-11T18:35,18.48,2.9,0.0,8.7,19.4,3.74,5,lh,23.2,93.0,22.0,28.6,1014.0,1015.7,0.0,49.0,2.0,33.0,91.0,0.0,0.0,0.0,0.0,7.7,10.2,208.0,212.0,11.9,0.0,0.21,24.4,25.8,25.8,26.2,0.445,0.444,0.422,0.452,lh,2018
2018-01-12,28.6,23.4,32.8,26.7,2018-01-12T06:43,2018-01-12T18:36,9.5,1.7,0.0,12.2,20.2,2.18,5,lh,24.4,92.0,22.9,28.5,1014.0,1015.7,0.0,84.0,3.0,85.0,100.0,0.0,0.0,0.0,0.0,8.4,11.5,133.0,131.0,11.5,0.0,0.26,25.0,26.0,25.8,26.2,0.439,0.434,0.421,0.451,lh,2018
2018-01-13,28.1,23.7,33.8,27.9,2018-01-13T06:43,2018-01-13T18:36,14.8,9.5,0.0,13.4,27.7,2.95,5,lh,23.5,92.0,22.2,28.7,1013.6,1015.3,0.0,61.0,8.0,40.0,99.0,0.0,0.0,0.0,0.0,9.0,14.0,92.0,90.0,10.8,0.0,0.22,24.0,25.3,25.8,26.2,0.425,0.429,0.419,0.451,lh,2018
2018-01-14,28.2,23.4,32.8,26.9,2018-01-14T06:43,2018-01-14T18:37,12.24,0.8,0.0,10.6,23.8,2.52,5,lh,23.7,92.0,22.2,28.0,1013.1,1014.8,0.0,65.0,1.0,58.0,99.0,0.0,0.0,0.0,0.0,9.3,14.5,144.0,138.0,15.1,0.0,0.25,24.2,25.4,25.7,26.1,0.435,0.428,0.416,0.45,lh,2018
2018-01-15,29.2,23.7,34.4,26.6,2018-01-15T06:44,2018-01-15T18:37,19.43,0.1,0.0,12.7,25.2,4.03,5,lh,23.7,89.0,21.8,28.5,1012.4,1014.1,0.0,42.0,12.0,2.0,100.0,0.0,0.0,0.0,0.0,5.8,8.4,158.0,160.0,14.4,0.0,0.32,24.1,25.1,25.7,26.1,0.427,0.425,0.414,0.449,lh,2018
2018-01-16,28.2,22.9,32.9,27.2,2018-01-16T06:44,2018-01-16T18:37,12.92,10.3,0.0,8.9,22.7,2.67,5,lh,24.7,88.0,22.6,28.9,1011.3,1013.0,0.0,70.0,0.0,92.0,50.0,0.0,0.0,0.0,0.0,6.5,8.4,264.0,280.0,5.0,0.0,0.37,24.4,25.6,25.7,26.1,0.444,0.425,0.411,0.449,lh,2018
2018-01-17,29.7,24.0,35.7,28.3,2018-01-17T06:44,2018-01-17T18:38,19.77,1.1,0.0,7.7,20.9,3.98,5,lh,23.8,93.0,22.7,30.5,1010.2,1011.9,0.0,84.0,16.0,69.0,95.0,0.0,0.0,0.0,0.0,5.4,6.9,217.0,223.0,8.6,0.0,0.2,24.5,25.5,25.6,26.1,0.429,0.435,0.418,0.448,lh,2018
2018-01-18,29.4,24.3,36.0,29.1,2018-01-18T06:44,2018-01-18T18:38,18.85,5.9,0.0,8.7,24.8,3.78,5,lh,23.2,96.0,22.5,31.1,1010.4,1012.1,0.0,54.0,23.0,16.0,78.0,0.0,0.0,0.0,0.0,3.9,5.7,248.0,252.0,7.2,0.0,0.11,24.6,25.8,25.7,26.1,0.438,0.43,0.417,0.448,lh,2018
2018-01-19,29.4,23.7,35.6,28.4,2018-01-19T06:45,2018-01-19T18:39,18.48,0.7,0.0,7.6,20.5,3.65,5,lh,22.8,99.0,22.6,29.5,1010.6,1012.3,0.0,67.0,0.0,78.0,68.0,0.0,0.0,0.0,0.0,5.0,7.0,240.0,249.0,7.6,0.0,0.03,24.3,25.9,25.7,26.1,0.439,0.437,0.416,0.447,lh,2018
2018-01-20,29.4,23.5,35.5,27.9,2018-01-20T06:45,2018-01-20T18:39,18.99,5.9,0.0,11.7,25.6,3.78,5,lh,23.4,96.0,22.7,29.6,1010.6,1012.3,0.0,39.0,4.0,9.0,100.0,0.0,0.0,0.0,0.0,2.3,2.4,252.0,297.0,6.1,0.0,0.12,24.3,26.0,25.7,26.1,0.427,0.429,0.416,0.447,lh,2018
2018-01-21,29.4,23.7,36.8,28.4,2018-01-21T06:45,2018-01-21T18:39,16.42,7.4,0.0,9.8,22.0,3.33,5,lh,23.7,95.0,22.9,29.6,1009.8,1011.5,0.0,71.0,2.0,66.0,100.0,0.0,0.0,0.0,0.0,3.6,5.4,264.0,274.0,9.7,0.0,0.15,24.6,25.9,25.8,26.1,0.428,0.423,0.414,0.446,lh,2018
2018-01-22,28.4,23.6,33.3,27.9,2018-01-22T06:45,2018-01-22T18:40,11.77,7.2,0.0,8.4,19.1,2.45,5,lh,23.3,98.0,23.0,28.8,1009.8,1011.5,0.0,96.0,15.0,87.0,100.0,0.0,0.0,0.0,0.0,7.6,12.8,301.0,310.0,11.9,0.0,0.05,24.6,25.6,25.8,26.1,0.443,0.444,0.414,0.446,lh,2018
2018-01-23,30.3,23.7,36.7,27.9,2018-01-23T06:45,2018-01-23T18:40,16.92,4.5,0.0,10.7,25.9,3.49,5,lh,23.4,95.0,22.6,29.6,1009.3,1011.0,0.0,54.0,13.0,21.0,98.0,0.0,0.0,0.0,0.0,5.3,9.7,298.0,321.0,7.6,0.0,0.14,24.0,25.3,25.7,26.1,0.436,0.437,0.422,0.445,lh,2018
2018-01-24,29.9,23.8,36.2,28.5,2018-01-24T06:46,2018-01-24T18:40,17.47,1.3,0.0,10.7,22.3,3.58,5,lh,23.3,97.0,22.8,29.8,1008.9,1010.6,0.0,47.0,13.0,9.0,99.0,0.0,0.0,0.0,0.0,4.8,6.9,257.0,279.0,9.7,0.0,0.09,24.1,25.5,25.7,26.1,0.435,0.445,0.424,0.445,lh,2018
2018-01-25,30.2,23.9,36.3,28.4,2018-01-25T06:46,2018-01-25T18:41,18.9,2.4,0.0,8.2,20.2,3.84,5,lh,23.2,98.0,22.9,30.3,1009.0,1010.7,0.0,60.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,2.0,1.8,225.0,259.0,6.1,0.0,0.05,24.7,25.9,25.7,26.1,0.439,0.435,0.424,0.445,lh,2018
2018-01-26,29.0,24.5,35.2,29.8,2018-01-26T06:46,2018-01-26T18:41,13.64,4.0,0.0,10.3,23.4,2.79,5,lh,24.1,96.0,23.5,31.4,1008.4,1010.1,0.0,35.0,4.0,2.0,100.0,0.0,0.0,0.0,0.0,4.3,5.4,246.0,266.0,5.4,0.0,0.12,24.8,26.1,25.7,26.1,0.428,0.441,0.424,0.444,lh,2018
2018-01-27,30.5,24.3,37.8,29.2,2018-01-27T06:46,2018-01-27T18:41,16.54,4.2,0.0,5.6,15.5,3.44,5,lh,24.4,94.0,23.5,30.1,1009.1,1010.8,0.0,65.0,0.0,59.0,100.0,0.0,0.0,0.0,0.0,3.3,6.2,174.0,159.0,6.5,0.0,0.17,24.8,25.9,25.8,26.0,0.426,0.431,0.423,0.444,lh,2018
2018-01-28,29.2,23.7,35.1,28.3,2018-01-28T06:46,2018-01-28T18:42,14.59,9.0,0.0,9.8,18.0,2.98,5,lh,22.9,98.0,22.6,30.6,1009.7,1011.4,0.0,45.0,7.0,15.0,100.0,0.0,0.0,0.0,0.0,5.0,8.4,270.0,295.0,10.8,0.0,0.05,24.6,26.0,25.8,26.0,0.431,0.443,0.423,0.444,lh,2018
2018-01-29,29.2,23.8,36.5,28.6,2018-01-29T06:46,2018-01-29T18:42,15.54,0.7,0.0,9.4,19.1,3.2,5,lh,23.7,95.0,22.8,30.2,1011.2,1012.9,0.0,78.0,1.0,79.0,100.0,0.0,0.0,0.0,0.0,4.3,7.0,275.0,291.0,9.4,0.0,0.15,24.4,25.7,25.8,26.0,0.415,0.441,0.429,0.443,lh,2018
2018-01-30,30.1,23.9,37.0,28.9,2018-01-30T06:46,2018-01-30T18:42,19.81,0.5,0.0,9.1,20.9,4.03,5,lh,24.2,96.0,23.4,30.9,1012.4,1014.1,0.0,59.0,9.0,35.0,99.0,0.0,0.0,0.0,0.0,5.2,7.1,236.0,255.0,10.1,0.0,0.13,24.7,25.9,25.8,26.0,0.413,0.428,0.429,0.443,lh,2018
2018-01-31,30.2,24.7,36.6,29.2,2018-01-31T06:46,2018-01-31T18:42,18.81,3.3,0.0,9.7,23.8,3.85,5,lh,24.3,97.0,23.8,31.2,1011.5,1013.2,0.0,58.0,0.0,48.0,98.0,0.0,0.0,0.0,0.0,6.0,8.6,245.0,255.0,9.4,0.0,0.1,25.2,26.3,25.8,26.0,0.418,0.42,0.427,0.443,lh,2018
2018-02-01,29.7,23.8,36.9,28.0,2018-02-01T06:46,2018-02-01T18:43,19.11,0.6,0.0,9.8,25.6,3.78,5,lh,25.1,90.0,23.4,30.8,1012.2,1013.9,0.0,54.0,16.0,18.0,97.0,0.0,0.0,0.0,0.0,3.3,5.4,283.0,307.0,6.5,0.0,0.31,25.1,26.4,25.9,26.0,0.429,0.417,0.424,0.443,lh,2018
2018-02-02,30.1,23.8,36.6,28.3,2018-02-02T06:46,2018-02-02T18:43,20.65,1.9,0.0,11.1,24.5,4.16,5,lh,23.9,94.0,22.9,30.4,1011.7,1013.4,0.0,33.0,4.0,6.0,86.0,0.0,0.0,0.0,0.0,4.8,6.1,228.0,230.0,6.1,0.0,0.16,24.8,26.3,26.0,26.0,0.42,0.417,0.422,0.442,lh,2018
2018-02-03,29.8,24.5,34.8,28.9,2018-02-03T06:46,2018-02-03T18:43,17.25,1.9,0.0,14.1,28.8,3.67,5,lh,24.8,94.0,23.7,31.3,1012.1,1013.8,0.0,40.0,9.0,5.0,97.0,0.0,0.0,0.0,0.0,6.3,11.3,156.0,153.0,13.0,0.0,0.2,25.4,26.4,26.0,26.0,0.412,0.411,0.42,0.442,lh,2018
2018-02-04,30.1,23.6,36.3,27.8,2018-02-04T06:46,2018-02-04T18:43,20.02,0.3,0.0,13.8,30.2,4.08,5,lh,24.5,92.0,23.2,29.9,1011.8,1013.5,0.0,11.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,10.1,16.3,145.0,145.0,15.5,0.01,0.24,25.4,26.4,26.0,26.0,0.402,0.404,0.417,0.442,lh,2018
2018-02-05,30.0,23.8,37.5,27.8,2018-02-05T06:46,2018-02-05T18:44,21.33,0.6,0.0,11.1,28.1,4.27,5,lh,24.5,94.0,23.4,30.0,1013.1,1014.8,0.0,18.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0,5.0,8.7,150.0,138.0,11.9,0.0,0.2,25.5,26.5,26.1,26.0,0.394,0.398,0.414,0.441,lh,2018
2018-02-06,28.9,23.7,33.1,27.8,2018-02-06T06:46,2018-02-06T18:44,17.49,1.0,0.0,15.6,29.9,3.68,5,lh,24.9,86.0,22.4,30.0,1014.1,1015.8,0.0,21.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,5.8,9.4,184.0,184.0,10.8,0.0,0.45,25.5,26.5,26.1,26.0,0.386,0.391,0.41,0.441,lh,2018
2018-02-07,29.3,23.5,34.3,26.8,2018-02-07T06:46,2018-02-07T18:44,20.71,0.2,0.0,11.8,24.8,4.24,5,lh,23.7,87.0,21.4,28.0,1013.1,1014.8,0.0,14.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,5.1,8.6,184.0,182.0,10.4,0.0,0.39,24.6,26.1,26.1,26.0,0.38,0.385,0.407,0.44,lh,2018
2018-02-08,29.5,23.4,34.8,27.6,2018-02-08T06:46,2018-02-08T18:44,20.45,0.2,0.0,12.2,24.5,4.22,5,lh,25.0,86.0,22.5,29.7,1012.4,1014.1,0.0,80.0,57.0,48.0,0.0,0.0,0.0,0.0,0.0,5.1,8.3,172.0,162.0,10.4,0.0,0.44,25.4,26.3,26.1,26.0,0.369,0.378,0.404,0.44,lh,2018
2018-02-09,30.1,22.9,35.6,26.5,2018-02-09T06:46,2018-02-09T18:44,22.01,0.0,0.0,15.3,29.9,4.51,5,lh,24.9,87.0,22.6,29.1,1011.5,1013.2,0.0,28.0,20.0,6.0,22.0,0.0,0.0,0.0,0.0,4.2,6.3,149.0,121.0,9.7,0.0,0.42,25.5,26.5,26.1,26.0,0.36,0.371,0.401,0.439,lh,2018
2018-02-10,29.6,23.7,35.5,27.9,2018-02-10T06:46,2018-02-10T18:44,21.43,0.8,0.0,13.5,25.9,4.38,5,lh,24.3,91.0,22.8,29.9,1012.5,1014.2,0.0,30.0,12.0,2.0,59.0,0.0,0.0,0.0,0.0,3.3,4.7,167.0,157.0,10.1,0.0,0.27,25.1,26.5,26.1,26.0,0.353,0.364,0.397,0.439,lh,2018
2018-02-11,30.0,22.2,36.2,25.8,2018-02-11T06:46,2018-02-11T18:44,22.1,0.0,0.0,11.2,25.2,4.55,5,lh,24.7,89.0,22.7,29.2,1013.4,1015.1,0.0,28.0,1.0,2.0,85.0,0.0,0.0,0.0,0.0,6.0,8.4,213.0,223.0,13.3,0.0,0.34,25.0,26.5,26.2,26.0,0.347,0.358,0.394,0.438,lh,2018
2018-02-12,30.6,22.3,36.2,25.3,2018-02-12T06:46,2018-02-12T18:45,24.32,0.0,0.0,12.3,25.9,5.07,5,lh,22.7,92.0,21.4,27.8,1014.0,1015.7,0.0,11.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,6.6,9.2,221.0,231.0,10.8,0.0,0.21,24.0,26.3,26.2,26.0,0.335,0.351,0.391,0.437,lh,2018
2018-02-13,31.0,22.2,37.0,25.9,2018-02-13T06:45,2018-02-13T18:45,24.5,0.2,0.0,13.8,26.6,5.14,5,lh,23.8,89.0,21.9,27.3,1014.2,1016.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.2,20.2,182.0,176.0,19.8,0.01,0.31,24.9,26.3,26.1,26.0,0.321,0.344,0.387,0.437,lh,2018
2018-02-14,30.9,24.1,36.8,28.6,2018-02-14T06:45,2018-02-14T18:45,21.87,1.8,0.0,10.2,25.2,4.5,5,lh,24.4,91.0,22.8,29.4,1015.5,1017.2,0.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,4.5,8.3,194.0,185.0,11.2,0.0,0.28,25.3,26.7,26.1,26.0,0.313,0.336,0.383,0.436,lh,2018
2018-02-15,31.0,23.7,37.1,27.4,2018-02-15T06:45,2018-02-15T18:45,23.61,0.0,0.0,12.9,29.5,4.94,5,lh,24.1,93.0,22.9,29.3,1015.1,1016.8,0.0,33.0,1.0,19.0,69.0,0.0,0.0,0.0,0.0,6.6,9.4,225.0,227.0,9.7,0.0,0.21,24.9,26.4,26.2,26.0,0.329,0.332,0.381,0.435,lh,2018
2018-02-16,31.1,24.4,36.9,28.5,2018-02-16T06:45,2018-02-16T18:45,21.43,0.1,0.0,14.8,30.6,4.55,5,lh,24.6,92.0,23.2,30.6,1014.0,1015.7,0.0,26.0,17.0,4.0,28.0,0.0,0.0,0.0,0.0,4.3,7.5,275.0,305.0,6.5,0.0,0.25,25.0,26.7,26.2,26.0,0.321,0.328,0.378,0.435,lh,2018
2018-02-17,31.1,24.4,36.5,28.1,2018-02-17T06:45,2018-02-17T18:45,22.02,0.0,0.0,15.0,29.9,4.64,5,lh,24.5,94.0,23.5,30.2,1011.4,1013.1,0.0,19.0,10.0,0.0,32.0,0.0,0.0,0.0,0.0,8.0,13.2,280.0,296.0,12.6,0.0,0.18,25.4,26.7,26.2,26.0,0.323,0.325,0.375,0.434,lh,2018
2018-02-18,31.3,24.1,37.9,28.4,2018-02-18T06:45,2018-02-18T18:45,22.98,0.0,0.0,10.6,24.1,4.8,5,lh,25.1,91.0,23.6,30.6,1010.5,1012.2,0.0,11.0,6.0,5.0,7.0,0.0,0.0,0.0,0.0,3.2,5.2,270.0,286.0,5.4,0.0,0.27,24.8,26.7,26.3,26.0,0.319,0.321,0.372,0.433,lh,2018
2018-02-19,31.6,23.7,37.1,28.5,2018-02-19T06:44,2018-02-19T18:45,23.32,0.0,0.0,13.2,27.4,4.94,5,lh,24.1,93.0,22.9,31.1,1011.3,1013.0,0.0,23.0,8.0,0.0,54.0,0.0,0.0,0.0,0.0,3.1,4.4,249.0,279.0,8.3,0.0,0.2,25.1,26.9,26.3,26.0,0.316,0.317,0.37,0.433,lh,2018
2018-02-20,31.9,23.3,37.7,27.8,2018-02-20T06:44,2018-02-20T18:45,23.64,0.0,0.0,10.5,22.7,4.98,5,lh,24.5,92.0,23.0,30.6,1011.0,1012.7,0.0,33.0,6.0,2.0,89.0,0.0,0.0,0.0,0.0,4.7,7.9,261.0,286.0,7.6,0.0,0.26,25.2,26.9,26.3,26.1,0.307,0.313,0.367,0.432,lh,2018
2018-02-21,32.1,23.9,38.4,28.6,2018-02-21T06:44,2018-02-21T18:45,19.44,2.4,0.0,9.7,25.9,4.12,5,lh,23.9,94.0,22.8,31.0,1009.1,1010.8,0.0,35.0,1.0,8.0,97.0,0.0,0.0,0.0,0.0,3.1,4.0,201.0,190.0,8.6,0.0,0.18,25.0,26.8,26.3,26.1,0.296,0.309,0.364,0.431,lh,2018
2018-02-22,30.4,24.7,37.5,29.5,2018-02-22T06:44,2018-02-22T18:45,14.9,5.9,0.0,8.1,19.1,3.14,5,lh,23.6,97.0,23.1,30.4,1009.1,1010.8,0.0,67.0,0.0,62.0,99.0,0.0,0.0,0.0,0.0,4.5,7.3,194.0,189.0,10.8,0.0,0.09,25.1,26.5,26.4,26.1,0.366,0.309,0.363,0.431,lh,2018
2018-02-23,29.0,23.9,34.5,27.8,2018-02-23T06:43,2018-02-23T18:45,17.82,3.5,0.0,10.2,24.5,3.6,5,lh,23.5,98.0,23.1,29.9,1011.2,1012.9,0.0,80.0,49.0,9.0,100.0,0.0,0.0,0.0,0.0,6.6,10.3,292.0,299.0,9.4,0.0,0.06,24.9,26.2,26.3,26.1,0.422,0.342,0.362,0.43,lh,2018
2018-02-24,30.9,24.5,36.2,28.8,2018-02-24T06:43,2018-02-24T18:45,18.08,4.0,0.0,14.6,29.2,3.9,5,lh,24.6,94.0,23.5,31.0,1011.9,1013.6,0.0,52.0,16.0,13.0,98.0,0.0,0.0,0.0,0.0,2.9,4.7,210.0,212.0,13.7,0.0,0.19,25.1,26.3,26.3,26.1,0.415,0.368,0.361,0.43,lh,2018
2018-02-25,28.7,24.8,34.7,29.8,2018-02-25T06:43,2018-02-25T18:45,17.17,5.4,0.0,12.3,27.0,3.39,5,lh,24.9,91.0,23.3,31.0,1010.9,1012.6,0.0,35.0,3.0,5.0,98.0,0.0,0.0,0.0,0.0,7.4,12.9,157.0,153.0,13.7,0.0,0.28,25.4,26.4,26.3,26.1,0.409,0.375,0.36,0.429,lh,2018
2018-02-26,30.2,24.6,35.9,29.1,2018-02-26T06:43,2018-02-26T18:45,20.79,2.9,0.0,12.4,27.7,4.23,5,lh,25.0,92.0,23.6,30.6,1009.8,1011.5,0.0,13.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,8.8,14.5,161.0,161.0,18.7,0.0,0.25,25.4,26.3,26.3,26.1,0.416,0.391,0.36,0.428,lh,2018
2018-02-27,30.5,24.6,37.7,29.4,2018-02-27T06:42,2018-02-27T18:45,21.5,1.2,0.0,10.2,25.9,4.3,5,lh,24.6,93.0,23.4,30.9,1010.4,1012.1,0.0,30.0,0.0,1.0,97.0,0.0,0.0,0.0,0.0,4.4,8.3,189.0,180.0,14.0,0.0,0.21,25.3,26.5,26.3,26.1,0.398,0.388,0.359,0.428,lh,2018
2018-02-28,31.6,24.0,38.9,28.5,2018-02-28T06:42,2018-02-28T18:45,23.49,0.0,0.0,10.2,24.5,4.89,5,lh,24.2,95.0,23.4,30.0,1010.6,1012.3,0.0,14.0,0.0,12.0,22.0,0.0,0.0,0.0,0.0,6.4,10.3,243.0,245.0,9.7,0.0,0.15,25.1,26.5,26.3,26.1,0.404,0.385,0.359,0.427,lh,2018
2018-03-01,30.8,24.4,37.2,28.6,2018-03-01T06:42,2018-03-01T18:45,19.94,3.7,0.0,9.8,23.4,4.16,5,lh,24.5,94.0,23.5,30.7,1010.4,1012.1,0.0,44.0,0.0,24.0,97.0,0.0,0.0,0.0,0.0,5.5,8.2,238.0,247.0,7.9,0.0,0.17,25.3,26.7,26.3,26.1,0.388,0.381,0.358,0.427,lh,2018
2018-03-02,30.5,24.2,36.8,28.6,2018-03-02T06:41,2018-03-02T18:45,20.66,1.1,0.0,10.4,24.5,4.26,5,lh,24.5,95.0,23.7,30.9,1010.6,1012.3,0.0,33.0,0.0,5.0,99.0,0.0,0.0,0.0,0.0,4.6,6.9,252.0,264.0,8.3,0.0,0.14,25.5,26.7,26.3,26.1,0.407,0.382,0.358,0.426,lh,2018
2018-03-03,31.8,24.8,37.9,29.8,2018-03-03T06:41,2018-03-03T18:45,22.43,0.0,0.0,8.4,22.3,4.82,5,lh,24.7,95.0,23.9,31.4,1009.2,1010.9,0.0,23.0,14.0,15.0,4.0,0.0,0.0,0.0,0.0,5.5,8.0,238.0,252.0,9.4,0.0,0.15,25.5,26.8,26.3,26.1,0.386,0.379,0.357,0.426,lh,2018
2018-03-04,31.7,24.7,37.7,28.9,2018-03-04T06:41,2018-03-04T18:45,22.31,0.3,0.0,13.9,31.0,4.76,5,lh,24.7,93.0,23.5,31.0,1010.2,1011.9,0.0,51.0,15.0,13.0,100.0,0.0,0.0,0.0,0.0,6.2,9.1,249.0,261.0,13.3,0.0,0.21,25.7,27.0,26.4,26.1,0.382,0.374,0.356,0.425,lh,2018
